,,,,,,,,,,,,,,,,
"Stock Market Data Used in ""Irrational Exuberance"" Princeton University Press, 2000, 2005, 2015, updated",,,,,,,,,,Cyclically,,,,,,
Robert J. Shiller,,,,,,,,,,Adjusted,,,,,,
,,,,,,,,,,Price,,,,,,
,,,,  Consumer,,,,,,Earnings,,,,,,
,S&P,,,Price,,Long,,,,Ratio,,,,,,
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real,Real,P/E10 or,,,,,,
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Earnings,CAPE,,,,,,
1875.1,4.30,0.31,0.38,11.13,1875.79,4.71,91.13,6.46,7.98,NA,,,,,,
1875.11,4.37,0.30,0.37,11.04,1875.88,4.67,93.41,6.47,7.87,NA,,,,,,
1875.12,4.37,0.30,0.36,10.94,1875.96,4.63,94.22,6.47,7.76,NA,,,,,,
1876.01,4.46,0.30,0.35,10.85,1876.04,4.59,97.01,6.53,7.68,NA,,,,,,
1876.02,4.52,0.30,0.35,10.85,1876.13,4.58,98.31,6.53,7.54,NA,,,,,,
1876.03,4.51,0.30,0.34,10.85,1876.21,4.57,98.09,6.53,7.40,NA,,,,,,
1876.04,4.34,0.30,0.33,10.75,1876.29,4.56,95.23,6.58,7.31,NA,,,,,,
1876.05,4.18,0.30,0.33,10.37,1876.38,4.54,95.09,6.82,7.43,NA,,,,,,
1876.06,4.15,0.30,0.32,10.09,1876.46,4.53,97.08,7.02,7.49,NA,,,,,,
1876.07,4.10,0.30,0.31,10.09,1876.54,4.52,95.91,7.02,7.33,NA,,,,,,
1876.08,3.93,0.30,0.31,10.18,1876.62,4.51,91.07,6.95,7.11,NA,,,,,,
1876.09,3.69,0.30,0.30,10.28,1876.71,4.50,84.72,6.89,6.89,NA,,,,,,
1876.1,3.67,0.30,0.29,10.47,1876.79,4.49,82.73,6.76,6.61,NA,,,,,,
1876.11,3.60,0.30,0.29,10.56,1876.87,4.47,80.42,6.70,6.40,NA,,,,,,
1876.12,3.58,0.30,0.28,10.75,1876.96,4.46,78.55,6.58,6.14,NA,,,,,,
1877.01,3.55,0.29,0.28,10.94,1877.04,4.45,76.54,6.27,6.07,NA,,,,,,
1877.02,3.34,0.28,0.28,10.66,1877.12,4.44,73.94,6.24,6.27,NA,,,,,,
1877.03,3.17,0.27,0.29,10.18,1877.21,4.43,73.46,6.31,6.60,NA,,,,,,
1877.04,2.94,0.26,0.29,10.47,1877.29,4.42,66.27,5.94,6.46,NA,,,,,,
1877.05,2.94,0.25,0.29,10.66,1877.37,4.41,65.09,5.63,6.38,NA,,,,,,
1877.06,2.73,0.25,0.29,10.09,1877.46,4.40,63.86,5.73,6.78,NA,,,,,,
1877.07,2.85,0.24,0.29,10.18,1877.54,4.40,66.04,5.46,6.76,NA,,,,,,
1877.08,3.05,0.23,0.29,9.80,1877.62,4.39,73.42,5.46,7.06,NA,,,,,,
1877.09,3.24,0.22,0.30,9.70,1877.71,4.38,78.76,5.29,7.17,NA,,,,,,
1877.1,3.31,0.21,0.30,9.70,1877.79,4.37,80.46,5.06,7.21,NA,,,,,,
1877.11,3.26,0.20,0.30,9.51,1877.87,4.36,80.83,4.94,7.40,NA,,,,,,
